datetimestamp,players_connected,games_hosted,hosts_per_min,games_joined,joins_per_min,queries_per_min,total_accounts,logins_per_minute,chat_users
20051207045338.html,"1,191","13,420,725",4,"149,486,144",485,,"867,395",11,485
20051208044637.html,"1,246","13,427,120",8,"149,593,680",391,,"868,158",8,391
20051208091458.html,677,"13,428,078",0,"149,606,320",229,,"868,250",7,229
20051210024937.html,"1,960","13,440,651",13,"149,812,288",600,,"869,718",29,600
20051211074018.html,"1,404","13,452,142",9,"150,007,504",410,,"871,041",21,410
20051212064134.html,938,"13,460,036",1,"150,142,080",292,,"872,041",7,292
20051212141856.html,700,"13,460,760",1,"150,154,512",208,,"872,139",12,208
20051213015742.html,"1,774","13,464,892",3,"150,223,760",460,,"872,645",37,460
20051213085114.html,710,"13,466,775",1,"150,254,656",198,,"872,847",8,198
20051215071556.html,800,"13,479,501",2,"150,460,368",277,,"874,232",5,277
20051215094212.html,670,"13,479,710",1,"150,464,320",198,,"874,264",10,198
20051218065907.html,"1,355","13,503,811",9,"150,857,520",413,,"876,854",17,413
20051219233714.html,"1,928","13,517,366",18,"151,086,352",595,,"878,495",27,595
20051221041336.html,"1,642","13,527,732",8,"151,262,528",527,,"879,592",18,527
20051222171257.html,"1,267","13,538,413",1,"151,454,400",387,,"880,824",14,387
